Date,Region,Country,Rainfall_mm,Temperature_C,Soil_Moisture,Humidity_%,Wind_Speed_mps,CO2_ppm,Evaporation_mm_day,Rainfall_Lag_mm,Heat_Index,Drought_Index,Flood_Potential,Extreme_Event,Flood_Risk,Drought_Risk,Heatwave_Risk,Month,Year,Season,Temperature_Anomaly,Rainfall_Anomaly,Climate_Risk_Score
2016-03-18,california,USA,122.63,18.49,49.88,61.4,9.9,422.61,5.54,96.1,21.56,0.0,122.63,0,0,0,0,3,2016,Spring,-4.060353535353535,40.455656565656554,0.0
2024-07-07,dubai,UAE,0.0,43.76,25.54,46.57,17.86,463.42,13.39,0.0,46.09,76.71,47.51,0,0,1,1,7,2024,Summer,4.377110091743113,-18.68912844036697,66.66666666666667
2016-01-29,kolkata,India,110.9,20.49,59.76,77.0,19.41,429.58,8.02,67.88,24.34,0.0,111.89,0,0,0,0,1,2016,Winter,-9.736788990825687,-87.01862385321098,0.0
2021-06-22,gujarat,India,54.41,40.42,52.64,60.46,12.87,482.78,12.92,50.2,43.45,15.36,95.25,0,0,0,0,6,2021,Summer,4.9303125000000065,-7.745803571428574,0.0
2022-04-28,stpetersburg,Russia,136.4,11.22,55.93,67.61,16.23,425.3,5.58,88.57,14.6,0.0,136.4,0,0,0,0,4,2022,Spring,4.850794392523366,42.47065420560749,0.0
2018-10-13,mumbai,India,132.3,20.36,69.88,78.06,8.64,437.81,6.08,119.34,24.27,0.0,133.02,0,0,0,0,10,2018,Autumn,-9.628599033816421,-50.66946859903376,0.0
2017-04-25,delhi,India,45.74,36.2,53.96,65.9,13.19,446.02,9.99,38.86,39.5,21.31,78.14,0,0,0,0,4,2017,Spring,3.2735609756097617,-55.55063414634147,0.0
2018-02-09,stpetersburg,Russia,90.84,0.99,59.53,76.66,11.76,408.69,2.97,72.41,4.82,0.0,90.84,0,0,0,0,2,2018,Winter,-5.379205607476634,-3.089345794392514,0.0
2016-04-16,chennai,India,121.52,37.3,71.47,86.11,15.59,435.74,11.05,92.33,41.61,0.0,156.13,0,0,0,0,4,2016,Spring,5.017128712871283,-21.477673267326722,0.0
2020-05-22,lahore,Pakistan,108.03,34.62,58.12,65.88,10.97,449.41,9.93,80.97,37.92,0.0,137.28,0,0,0,0,5,2020,Spring,5.623105263157893,50.99947368421053,0.0
2022-04-21,florida,USA,189.3,30.78,64.48,72.92,8.79,418.29,8.85,147.95,34.43,0.0,210.87,0,1,0,0,4,2022,Spring,4.623333333333335,64.31850000000001,33.333333333333336
2020-09-27,dubai,UAE,8.29,38.55,21.34,36.63,12.41,451.77,11.07,6.43,40.38,73.39,45.38,0,0,1,1,9,2020,Autumn,-0.8328899082568881,-10.399128440366972,66.66666666666667
2020-12-30,chennai,India,85.91,23.07,67.07,77.83,15.01,425.81,8.81,62.6,26.96,0.0,92.05,0,0,0,0,12,2020,Winter,-9.212871287128714,-57.08767326732672,0.0
2017-07-09,kashmir,India,391.14,23.06,81.68,65.38,18.83,380.07,9.46,236.96,26.33,0.0,397.26,0,1,0,0,7,2017,Summer,4.077384615384613,138.6162051282051,33.333333333333336
