Region,Temperature_C,Rainfall_mm,Humidity_%,CO2_ppm,Flood_Risk,Drought_Risk,Heatwave_Risk,Date
abudhabi,31.526666666666667,15.26,53.31333333333333,441.31666666666666,0,1,0,2015-12
abudhabi,28.465000000000003,74.15,50.095,451.705,0,0,0,2016-01
abudhabi,31.93,31.299999999999997,46.325,459.055,0,1,0,2016-02
abudhabi,30.46,14.51,52.11,450.58,0,0,0,2016-03
abudhabi,43.010000000000005,65.27,55.379999999999995,451.685,0,1,1,2016-04
abudhabi,43.39,0.0,54.335,447.88,0,1,1,2016-05
abudhabi,48.625,77.31,52.265,444.39,0,0,1,2016-06
abudhabi,47.375,82.84,53.504999999999995,440.595,0,1,1,2016-07
abudhabi,37.77,14.79,47.593333333333334,450.08,0,1,0,2016-09
abudhabi,33.67,0.0,54.08,440.38,0,1,0,2016-10
abudhabi,30.7,36.89,45.11,448.67,0,0,0,2016-11
abudhabi,28.405,15.89,54.9,458.685,0,1,0,2016-12
abudhabi,30.35,9.62,53.385000000000005,453.65,0,1,0,2017-01
abudhabi,34.075,133.47,49.375,450.985,0,1,0,2017-02
abudhabi,37.21,14.7,46.39,452.21,0,1,0,2017-03
abudhabi,39.93,7.2,55.18,435.77,0,1,0,2017-04
abudhabi,43.4175,18.759999999999998,52.34,454.4575,0,1,1,2017-05
abudhabi,45.09666666666667,69.03999999999999,50.46333333333333,446.50333333333333,0,1,1,2017-06
abudhabi,48.73,7.14,51.48,434.85,0,1,1,2017-07
abudhabi,40.3625,43.83,50.16,442.8975,0,1,1,2017-08
abudhabi,41.45,0.0,52.769999999999996,459.645,0,1,1,2017-09
abudhabi,25.865000000000002,21.66,51.225,449.22,0,1,0,2017-11
abudhabi,25.35,41.21,48.18,443.28,0,0,0,2017-12
abudhabi,31.17,0.0,57.75,446.63,0,1,0,2018-01
abudhabi,33.894999999999996,53.73,46.45,452.515,0,1,0,2018-02
abudhabi,41.415,9.01,46.085,443.40999999999997,0,1,1,2018-04
abudhabi,41.64,9.92,57.175,444.45,0,1,1,2018-05
abudhabi,44.91,0.0,60.03,465.13,0,1,1,2018-06
abudhabi,47.6,9.08,47.43,444.8,0,1,1,2018-07
abudhabi,45.91,30.21,44.12,465.01,0,0,1,2018-08
abudhabi,36.955,10.0,41.14,455.15,0,1,0,2018-09
abudhabi,34.196666666666665,93.91,50.81333333333333,462.1666666666667,1,1,0,2018-10
abudhabi,32.775,59.78,51.055,454.41999999999996,0,0,0,2018-11
abudhabi,31.345,14.27,52.705,436.71,0,1,0,2018-12
abudhabi,39.64,26.38,48.35,437.76,0,1,0,2019-02
abudhabi,42.68,0.0,53.84,472.57,0,1,1,2019-03
abudhabi,42.96,53.59,57.36,454.89,0,1,1,2019-04
abudhabi,42.802499999999995,89.53999999999999,52.989999999999995,459.9775,0,1,1,2019-05
abudhabi,45.095,23.22,54.15,457.235,0,1,1,2019-06
abudhabi,44.66,0.0,44.33,465.05,0,1,1,2019-07
abudhabi,41.11,98.82,48.136,449.83599999999996,0,1,1,2019-08
abudhabi,30.845,20.97,46.885,463.39,0,1,0,2019-10
abudhabi,30.706666666666667,55.76,41.63333333333333,447.9166666666667,0,1,0,2019-11
abudhabi,27.26,16.6,52.19,451.99,0,0,0,2019-12
abudhabi,32.4825,41.540000000000006,49.652499999999996,459.2725,0,1,0,2020-02
abudhabi,34.84,132.1,47.485,450.96250000000003,0,1,1,2020-03
abudhabi,37.35,25.67,47.2,452.22,0,1,0,2020-04
abudhabi,49.004999999999995,18.03,45.535,455.935,0,1,1,2020-06
abudhabi,46.622,96.43,46.644,458.108,0,1,1,2020-07
abudhabi,40.56666666666667,36.63,47.45666666666667,467.56,0,1,0,2020-08
abudhabi,36.175,0.0,47.32,438.23,0,1,0,2020-10
abudhabi,28.92,24.88,48.325,462.685,0,1,0,2020-11
abudhabi,30.0125,41.93,46.345,458.95,0,1,0,2020-12
abudhabi,33.83,33.3,45.95,473.18,0,0,0,2021-01
