Date,Region,Rainfall_mm,Temperature_C,Soil_Moisture,Humidity_%,Wind_Speed_mps,CO2_ppm,Evaporation_mm_day,Rainfall_Lag_mm,Flood_Risk,Drought_Risk,Heatwave_Risk
2021-10-26,california,115.76,16.72,60.47,61.12,12.1,418.08,6.23,85.28,0,0,0
2022-02-25,shanghai,49.83,14.19,68.02,78.8,7.38,476.53,4.99,36.27,0,0,0
2023-11-25,shanghai,97.91,11.91,67.78,72.48,27.8,474.78,6.35,69.44,0,0,0
2024-01-17,kolkata,116.0,26.66,78.63,83.79,11.82,432.33,9.18,91.41,0,0,0
2021-11-03,california,99.92,16.34,57.26,59.08,8.67,413.11,5.77,80.33,0,0,0
2020-11-24,newyork,128.28,13.4,71.65,73.53,7.08,391.93,4.73,96.76,0,0,0
2023-08-25,chennai,107.77,30.13,69.56,73.48,17.91,426.08,10.83,91.15,0,0,0
2024-10-11,mumbai,142.87,28.22,72.29,72.51,20.5,407.93,10.52,101.83,0,0,0
2021-06-10,california,71.53,29.95,57.82,63.34,9.81,412.37,9.97,60.27,0,0,0
2022-12-31,mumbai,142.43,23.31,75.33,76.35,10.4,446.98,8.03,111.88,0,0,0
2023-05-17,newyork,110.64,15.78,69.96,73.61,12.33,400.15,5.97,94.16,0,0,0
2024-05-18,gujarat,26.82,35.59,45.32,53.29,20.79,444.01,12.76,23.45,0,1,0
2021-04-25,shanghai,91.65,23.93,68.18,73.76,13.72,475.39,8.55,71.99,0,0,0
2023-02-25,gujarat,0.0,31.58,45.11,56.38,13.55,436.84,10.83,0.0,0,1,0
2021-12-27,karachi,13.12,25.75,55.19,67.35,10.77,433.83,8.8,11.01,0,0,0
2022-09-14,kolkata,163.37,27.94,80.07,79.66,7.87,439.9,9.17,136.6,1,0,0
2021-02-20,chennai,39.92,33.41,63.95,74.95,8.39,426.35,10.86,34.36,0,1,0
2023-05-25,chennai,79.32,33.66,71.03,78.87,17.72,429.1,11.87,57.91,0,0,0
2022-02-13,beijing,40.49,13.47,44.54,50.61,19.44,474.54,5.99,31.17,0,0,0
2024-06-23,california,71.21,28.51,60.08,66.2,13.39,403.73,9.89,63.02,0,0,0
2022-03-13,dubai,0.0,40.03,36.73,45.91,6.96,460.46,12.71,0.0,0,1,1
2024-07-29,shanghai,133.9,22.79,75.89,78.13,8.4,460.1,7.68,113.17,0,0,0
2024-09-16,kolkata,175.2,30.63,79.34,77.28,16.47,431.86,10.83,122.82,1,0,0
2023-05-31,moscow,102.99,10.54,67.81,71.9,18.28,410.47,4.99,86.76,0,0,0
2024-09-22,mumbai,137.69,31.4,76.85,78.85,19.11,423.3,11.33,98.96,0,0,0
2024-07-12,kolkata,141.66,39.07,75.56,76.74,16.71,429.38,13.39,124.43,0,0,0
2025-09-28,beijing,111.8,14.03,54.33,53.94,18.13,501.76,6.02,84.54,0,0,0
