year,month,co2_ppm,enso_index,volcanic_activity,ocean_heat_index,temperature_anomaly,rainfall_mm,humidity_pct,month_sin,month_cos,region_Inland,region_Polar,region_Temperate,region_Tropics,temp_lag1,co2_lag1,rainfall_lag1,temp_roll3,rain_roll3
1900,1,293.8,0.104,0.0,3.173,-0.45,140.45,89.66,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,-0.45,293.8,140.45,-0.45,140.45
1900,2,294.68,0.023,0.0,3.035,0.234,103.14,56.25,0.8660254037844386,0.5000000000000001,1.0,0.0,0.0,0.0,-0.45,293.8,140.45,-0.108,121.79499999999999
1900,3,298.01,0.563,0.0,3.622,-1.808,44.97,63.04,1.0,6.123233995736766e-17,0.0,1.0,0.0,0.0,0.234,294.68,103.14,-0.6746666666666666,96.18666666666667
1900,4,294.38,0.442,0.0,3.338,-0.063,76.84,57.77,0.8660254037844387,-0.4999999999999998,1.0,0.0,0.0,0.0,-1.808,298.01,44.97,-0.5456666666666666,74.98333333333333
1900,5,294.45,0.438,0.0,3.254,-2.201,55.02,56.91,0.49999999999999994,-0.8660254037844387,1.0,0.0,0.0,0.0,-0.063,294.38,76.84,-1.3573333333333333,58.943333333333335
1900,6,294.75,0.599,0.0,3.376,-0.306,102.41,70.26,1.2246467991473532e-16,-1.0,0.0,0.0,1.0,0.0,-2.201,294.45,55.02,-0.8566666666666668,78.09
1900,7,293.65,0.492,0.0,3.243,-0.835,46.23,55.35,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.0,0.0,-0.306,294.75,102.41,-1.114,67.88666666666667
1900,8,295.53,0.359,0.0,3.35,-0.718,40.15,60.34,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.0,0.0,-0.835,293.65,46.23,-0.6196666666666667,62.93
1900,9,294.6,0.983,0.0,3.848,0.218,53.65,61.46,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0,0.0,-0.718,295.53,40.15,-0.445,46.67666666666667
1900,10,295.93,0.791,0.0,3.662,0.107,115.73,62.44,-0.8660254037844386,0.5000000000000001,1.0,0.0,0.0,0.0,0.218,294.6,53.65,-0.13099999999999998,69.84333333333333
1900,11,296.5,0.426,0.0,3.313,0.476,160.91,90.01,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,0.0,0.107,295.93,115.73,0.26699999999999996,110.09666666666665
1900,12,295.93,1.04,0.0,3.781,-0.476,62.78,62.46,-2.4492935982947064e-16,1.0,0.0,1.0,0.0,0.0,0.476,296.5,160.91,0.03566666666666668,113.14
1901,1,294.3,0.961,0.0,3.518,2.39,95.64,59.09,0.49999999999999994,0.8660254037844387,1.0,0.0,0.0,0.0,-0.476,295.93,62.78,0.7966666666666667,106.44333333333333
1901,2,295.84,1.403,0.0,4.102,-0.847,127.77,69.61,0.8660254037844386,0.5000000000000001,0.0,0.0,1.0,0.0,2.39,294.3,95.64,0.35566666666666674,95.39666666666666
1901,3,296.07,1.062,0.0,3.797,-0.482,81.05,87.62,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,-0.847,295.84,127.77,0.35366666666666674,101.48666666666666
1901,4,294.09,0.705,0.0,3.156,-2.043,92.98,71.04,0.8660254037844387,-0.4999999999999998,0.0,0.0,1.0,0.0,-0.482,296.07,81.05,-1.1239999999999999,100.60000000000001
1901,5,294.84,0.547,0.6,3.675,-1.313,97.75,87.87,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,0.0,-2.043,294.09,92.98,-1.2793333333333334,90.59333333333332
1901,6,293.75,1.294,0.0,4.15,-0.135,80.76,58.16,1.2246467991473532e-16,-1.0,1.0,0.0,0.0,0.0,-1.313,294.84,97.75,-1.1636666666666666,90.49666666666667
1901,7,295.67,0.935,0.0,3.775,0.561,138.21,82.58,-0.4999999999999997,-0.8660254037844388,0.0,0.0,0.0,1.0,-0.135,293.75,80.76,-0.29566666666666647,105.57333333333334
1901,8,296.28,0.697,0.0,3.378,0.63,123.61,86.25,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,0.0,0.561,295.67,138.21,0.35200000000000015,114.19333333333333
1901,9,297.45,0.686,0.0,3.608,1.227,114.58,67.51,-1.0,-1.8369701987210297e-16,0.0,0.0,1.0,0.0,0.63,296.28,123.61,0.8060000000000002,125.46666666666665
1901,10,295.25,1.134,0.0,3.54,1.47,101.36,58.47,-0.8660254037844386,0.5000000000000001,1.0,0.0,0.0,0.0,1.227,297.45,114.58,1.1090000000000002,113.18333333333332
1901,11,295.87,0.861,0.0,3.674,0.971,162.78,90.49,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,0.0,1.47,295.25,101.36,1.2226666666666668,126.24
1901,12,296.53,0.943,0.0,3.603,0.608,210.64,82.08,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,1.0,0.971,295.87,162.78,1.0163333333333335,158.26
1902,1,294.67,0.649,0.0,3.669,0.141,198.6,89.49,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,1.0,0.608,296.53,210.64,0.5733333333333335,190.67333333333332
1902,2,293.92,0.291,0.0,3.472,-2.545375,44.22,66.29,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.0,0.141,294.67,198.6,-0.5987916666666665,151.15333333333334
1902,3,294.75,0.853,0.0,3.608,-2.545375,34.41,63.89,1.0,6.123233995736766e-17,0.0,1.0,0.0,0.0,-2.545375,293.92,44.22,-1.6499166666666667,92.41000000000001
