time_index,year,month,region,co2_ppm,enso_index,volcanic_activity,ocean_heat_index,temperature_anomaly,rainfall_mm,humidity_pct,CO2_Reduction_Percent,Deforestation_Percent,Urban_Heat_Control_Percent,Irrigation_Efficiency_Percent,Water_Conservation_Percent,Renewable_Energy_Percent,Cloud_Seeding_Efficiency_Percent,Temperature_with_scenario,CO2_with_scenario,Rainfall_with_scenario,FloodRisk_Score,DroughtRisk_Score,HeatwaveRisk_Score,FloodRisk_Level,DroughtRisk_Level,HeatwaveRisk_Level
6252,2421,1,Coastal,409.4,1.246,0.0,5.083,1.477,144.44,89.87,79,97,96,94,73,59,100,0.857,406.42,145.41,87.20499999999998,-62.080200000000005,-37.8858,High,Low,Low
4684,2290,5,Temperate,378.73,-0.014,0.0,3.553,0.51,90.69,68.92,8,10,17,81,64,14,71,0.52,378.43000000000006,90.78999999999999,35.595,-43.229,-6.488,Low,Medium,High
1731,2044,4,Temperate,326.43,-0.767,0.0,2.448,-0.457,80.59,67.85,35,33,49,97,28,80,33,-0.667,325.01,80.92,44.76,-43.942800000000005,-20.000200000000003,Low,Medium,Medium
4742,2295,3,Polar,,0.577,0.0,4.551,-0.858,56.85,65.78,7,78,98,73,82,60,44,-0.018000000000000016,,57.629999999999995,35.815,-31.8962,-39.210800000000006,Low,High,Low
4521,2276,10,Inland,376.91,0.696,0.0,4.503,3.13,114.28,57.24,45,32,20,96,74,67,60,2.43,374.98,114.6,52.099999999999994,-52.608,-6.542,Medium,Low,High
6340,2428,5,Temperate,409.43,-1.199,0.0,3.066,0.916,101.02,69.46,57,67,26,80,57,37,69,0.03599999999999992,407.25,101.69,59.544999999999995,-46.492599999999996,-10.378400000000001,Medium,Medium,High
576,1948,1,Temperate,306.37,-0.859,0.0,2.309,-0.557,116.26,70.74,51,47,15,39,14,5,5,-1.427,304.29,116.73,69.665,-43.389799999999994,-6.8562,Medium,Medium,High
5202,2333,7,Tropics,390.25,-0.751,0.0,3.169,1.646,169.32,82.33,83,12,36,24,56,35,71,0.34599999999999975,386.22,169.44,77.11999999999999,-55.4936,-14.192400000000001,High,Low,Medium
6363,2430,4,Temperate,409.09,0.496,0.0,4.586,0.922,112.29,71.58,10,36,16,43,73,61,63,0.882,408.95,112.65,52.525,-42.0422,-5.8708,Medium,Medium,High
439,1936,8,Tropics,302.53,0.566,0.0,3.214,0.883,167.59,78.98,45,93,64,19,85,70,100,0.623,301.21,168.51999999999998,95.16,-54.106799999999986,-25.226200000000002,High,Low,Medium
2750,2129,3,Coastal,344.23,-1.037,0.0,2.627,0.05,123.82,88.32,71,77,22,73,89,7,39,-1.15,341.45,124.58999999999999,67.595,-52.437,-9.49,Medium,Low,High
7487,2523,12,Tropics,429.89,-1.267,0.0,3.867,2.112,228.78,81.28,24,19,93,23,45,34,13,2.5620000000000003,428.88,228.97,111.185,-72.2662,-35.662800000000004,High,Low,Low
5272,2339,5,Temperate,391.55,-0.642,0.0,3.818,0.123,109.47,72.52,16,7,89,15,85,34,94,0.6930000000000001,390.82,109.53999999999999,39.87,-35.584799999999994,-35.184200000000004,Low,High,Low
5653,2371,2,Temperate,396.97,1.091,0.0,4.966,-0.186,100.92,65.2,39,94,55,85,47,37,67,-0.4159999999999999,395.96000000000004,101.86,69.72999999999999,-47.7244,-22.2496,Medium,Medium,Medium
3999,2233,4,Temperate,367.42,-1.005,0.0,3.209,0.042,86.31,69.57,19,77,19,13,76,28,45,-0.14800000000000002,367.24,87.08,51.44,-28.7832,-7.6888000000000005,Medium,High,High
6033,2402,10,Inland,403.48,-0.816,0.0,3.393,3.375,110.69,58.14,75,83,99,99,6,40,58,2.865,400.56,111.52,79.46,-52.11,-37.881,High,Low,Low
582,1948,7,Tropics,303.61,-0.816,0.0,2.29,0.205,,83.95,92,32,59,55,51,79,85,-1.045,299.33,,,,-24.227,High,High,Medium
9930,2727,7,Coastal,474.63,0.004,0.0,4.753,1.986,132.12,81.66,75,9,97,88,63,12,96,1.456,470.96999999999997,132.21,56.205000000000005,-56.680600000000005,-37.9264,Medium,Low,Low
7051,2487,8,Tropics,421.97,0.062,0.0,4.253,2.0,176.63,82.22,2,7,18,60,0,31,74,2.14,421.94,176.70000000000002,90.45,-64.154,-5.916,High,Low,High
8158,2579,11,Inland,443.29,-0.48,0.0,3.763,2.957,122.84,60.91,39,7,91,5,67,36,17,3.0869999999999997,441.41,122.91,50.155,-36.6382,-34.547799999999995,Medium,Medium,Low
9896,2724,9,Tropics,472.01,-0.37,0.0,4.398,2.651,201.44,82.44,40,61,10,2,19,97,98,1.9509999999999998,470.62,202.05,115.525,-60.2346,-2.8294,High,Low,High
2249,2087,6,Tropics,333.08,0.364,0.0,3.607,1.303,123.21,78.81,59,33,61,48,95,73,32,0.733,330.46,123.53999999999999,52.67,-46.3688,-23.9602,Medium,Medium,Medium
4640,2286,9,Polar,378.57,1.167,0.0,4.615,0.668,55.58,59.51,95,2,12,99,86,94,37,-1.112,373.84,55.6,11.200000000000003,-36.924800000000005,-5.467200000000001,Low,Medium,High
9485,2690,6,Tropics,465.61,0.916,0.0,5.81,2.537,132.71,76.99,85,4,32,38,85,77,43,1.157,461.40000000000003,132.75,50.575,-46.962199999999996,-12.1058,Medium,Medium,High
4947,2312,4,Coastal,384.32,0.576,0.0,4.188,0.202,96.7,82.57,91,80,12,97,39,1,10,-1.4980000000000002,380.57,97.50000000000001,64.95,-49.2492,-5.698800000000001,Medium,Low,High
9920,2726,9,Tropics,474.15,1.178,0.0,5.81,2.586,187.69,83.82,71,70,67,37,9,48,67,1.8359999999999999,471.29999999999995,188.39,113.395,-63.182599999999994,-25.6984,High,Low,Medium
1963,2063,8,Inland,329.1,-1.094,0.0,2.161,0.234,105.36,58.77,78,40,9,72,85,100,37,-1.236,325.6,105.76,47.879999999999995,-46.6224,-4.3416,Medium,Medium,High
8243,2586,12,Coastal,443.13,0.642,0.0,5.043,1.562,137.31,84.61,87,11,7,70,30,9,7,-0.10799999999999993,438.89,137.42000000000002,66.01,-55.269200000000005,-2.8648000000000002,Medium,Low,High
6590,2449,3,Temperate,414.8,-1.411,0.0,3.091,0.561,106.11,67.4,4,75,19,91,19,64,37,0.671,415.35,106.86,72.13000000000001,-49.989599999999996,-7.197400000000001,High,Low,High
8847,2637,4,Polar,451.69,0.558,0.0,5.311,-0.573,33.13,68.31,78,85,2,48,73,22,47,-2.113,448.64000000000004,33.98,27.889999999999993,-20.639200000000002,-2.0678,Low,High,High
321,1926,10,Temperate,299.01,0.859,0.0,3.101,1.164,154.99,70.23,58,87,27,33,36,13,48,0.274,296.98,155.86,96.83,-53.248400000000004,-10.6356,High,Low,High
2678,2123,3,Inland,345.46,-0.694,0.0,2.7,-0.788,66.44,57.81,89,15,80,53,91,32,83,-1.768,341.15999999999997,66.59,19.595000000000002,-31.284200000000002,-33.0608,Low,High,Low
4625,2285,6,Tropics,377.2,0.488,0.0,4.264,1.442,124.97,78.5,19,56,0,68,57,25,74,1.0619999999999998,376.81,125.53,68.16499999999999,-50.8342,0.6371999999999999,Medium,Low,High
4949,2312,6,Temperate,382.45,0.362,0.0,4.251,0.643,96.93,70.86,36,4,84,33,97,49,19,0.763,380.69,96.97000000000001,30.285000000000007,-35.3858,-33.1422,Low,High,Low
8328,2594,1,Temperate,445.76,-0.639,0.0,3.709,0.695,108.08,73.43,89,93,64,77,80,38,89,-0.44499999999999995,442.24,109.01,66.405,-48.281,-25.867,Medium,Medium,Medium
3337,2178,2,Tropics,355.51,0.05,0.0,3.176,1.333,176.12,84.77,19,93,86,29,89,3,79,1.813,355.49,177.04999999999998,98.62499999999999,-58.18979999999999,-33.3122,High,Low,Low
5589,2365,10,Inland,394.92,0.529,0.0,4.516,3.422,122.25,57.19,76,100,16,17,18,72,21,2.0620000000000003,392.12,123.25,88.025,-39.5502,-5.162800000000001,High,Medium,High
251,1920,12,Coastal,299.62,0.881,0.0,3.496,0.856,145.67,87.55,55,81,49,36,62,83,97,0.24599999999999989,297.68,146.48,85.13999999999999,-51.0456,-19.4524,High,Low,Medium
3973,2231,2,Tropics,367.36,0.88,0.0,4.785,1.3,174.92,79.62,45,63,28,90,19,80,84,0.68,365.74,175.54999999999998,102.87499999999999,-70.393,-10.792000000000002,High,Low,High
6630,2452,7,Tropics,413.39,-0.297,0.0,4.113,1.872,157.46,78.79,100,68,40,94,13,27,92,0.27200000000000013,409.07,158.14,96.87,-66.13319999999999,-15.8368,High,Low,Medium
5547,2362,4,Polar,394.54,0.401,0.0,3.973,-1.719,37.12,61.88,63,65,12,69,50,52,45,-2.859,392.04,37.77,28.385000000000005,-26.2746,-6.5154000000000005,Low,High,High
35,1902,12,Inland,295.67,-0.175,0.0,2.766,0.708,96.8,57.64,9,2,7,35,49,24,16,0.5980000000000001,295.24,96.82,39.209999999999994,-35.806799999999996,-2.4412000000000003,Low,High,High
8362,2596,11,Coastal,446.19,1.255,0.0,5.562,2.483,140.81,86.36,32,77,96,98,91,77,36,2.803,445.35999999999996,141.58,75.69,-60.9528,-36.7182,High,Low,Low
1513,2026,2,Inland,321.13,0.922,0.0,4.219,-1.365,81.49,61.79,77,65,8,14,34,64,90,-2.825,317.92999999999995,82.14,53.769999999999996,-28.572,-4.8950000000000005,Medium,High,High
9317,2676,6,Inland,459.85,1.224,0.0,5.641,2.472,91.91,55.56,36,63,77,9,24,8,57,2.5220000000000002,458.68,92.53999999999999,60.36999999999999,-28.553199999999997,-29.2868,Medium,High,Low
39,1903,4,Temperate,295.22,-1.066,0.0,1.959,-1.545,83.15,77.23,55,87,77,9,64,23,71,-1.875,293.34000000000003,84.02000000000001,55.31,-27.756000000000004,-31.925,Medium,High,Low
4819,2301,8,Temperate,383.0,1.198,0.0,4.626,1.516,127.08,69.45,50,77,60,23,85,47,44,1.116,381.27,127.84999999999998,70.02499999999999,-42.508599999999994,-23.3304,Medium,Medium,Medium
3465,2188,10,Polar,356.87,-0.56,0.0,3.145,0.784,56.41,59.5,78,71,56,98,52,98,46,-0.21599999999999997,353.68,57.12,39.46,-36.8224,-22.529600000000002,Low,Medium,Medium
1760,2046,9,Coastal,326.65,1.062,0.0,4.0,0.99,138.65,85.94,79,4,11,19,89,91,16,-0.4800000000000001,322.74,138.69,52.745000000000005,-45.599,-4.688000000000001,Medium,Medium,High
2304,2092,1,Temperate,334.98,0.64,0.0,4.048,0.95,138.78,72.32,24,6,28,5,81,62,100,0.75,333.84000000000003,138.84,55.019999999999996,-42.352000000000004,-10.750000000000002,Medium,Medium,High
3723,2210,4,Polar,360.62,-0.003,0.0,3.682,-1.051,33.1,63.48,18,36,62,9,31,98,20,-0.791,360.08000000000004,33.46,21.330000000000002,-12.1544,-25.2746,Low,High,Medium
8284,2590,5,Temperate,445.95,0.286,0.0,5.174,1.556,93.3,70.13,45,71,29,18,69,72,63,0.946,444.40999999999997,94.00999999999999,54.504999999999995,-31.424599999999998,-11.0324,Medium,High,High
4993,2316,2,Inland,384.35,0.867,0.0,4.339,1.29,96.07,55.47,91,63,88,77,56,8,35,0.35,380.43,96.69999999999999,56.05,-44.269999999999996,-34.99,Medium,Medium,Low
8127,2577,4,Temperate,441.96,-0.401,0.0,4.301,0.032,94.75,66.86,90,31,80,44,54,24,29,-0.968,437.77,95.06,46.03,-37.705200000000005,-32.580799999999996,Low,Medium,Low
3032,2152,9,Temperate,348.49,-0.217,0.0,3.199,1.389,125.28,71.29,18,73,1,56,57,96,41,1.039,348.32000000000005,126.01,73.505,-48.5874,0.22339999999999993,High,Medium,High
7938,2561,7,Tropics,436.68,0.947,0.0,5.209,2.274,137.16,81.03,30,56,26,71,67,94,78,1.934,435.74,137.72,72.25999999999999,-54.742399999999996,-9.239600000000001,High,Low,High
