time_index,year,month,region,co2_ppm,enso_index,volcanic_activity,ocean_heat_index,temperature_anomaly,rainfall_mm,humidity_pct,CO2_Reduction_Percent,Deforestation_Percent,Renewable_Energy_Percent,Urban_Heat_Control_Percent,Water_Conservation_Percent,Irrigation_Efficiency_Percent,Temperature_with_scenario,CO2_with_scenario,Rainfall_with_scenario
6252,2421,1,Coastal,409.4,1.246,0.0,5.083,1.477,144.44,89.87,0.0,0.0,0.0,0.0,0.0,0.0,1.477,409.4,144.44
4684,2290,5,Temperate,378.73,-0.014,0.0,3.553,0.51,90.69,68.92,0.0,0.0,0.0,0.0,0.0,0.0,0.51,378.73,90.69
1731,2044,4,Temperate,326.43,-0.767,0.0,2.448,-0.457,80.59,67.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.457,326.43,80.59
4742,2295,3,Polar,,0.577,0.0,4.551,-0.858,56.85,65.78,0.0,0.0,0.0,0.0,0.0,0.0,-0.858,,56.85
4521,2276,10,Inland,376.91,0.696,0.0,4.503,3.13,114.28,57.24,0.0,0.0,0.0,0.0,0.0,0.0,3.13,376.91,114.28
6340,2428,5,Temperate,409.43,-1.199,0.0,3.066,0.916,101.02,69.46,0.0,0.0,0.0,0.0,0.0,0.0,0.916,409.43,101.02
576,1948,1,Temperate,306.37,-0.859,0.0,2.309,-0.557,116.26,70.74,0.0,0.0,0.0,0.0,0.0,0.0,-0.557,306.37,116.26
5202,2333,7,Tropics,390.25,-0.751,0.0,3.169,1.646,169.32,82.33,0.0,0.0,0.0,0.0,0.0,0.0,1.646,390.25,169.32
6363,2430,4,Temperate,409.09,0.496,0.0,4.586,0.922,112.29,71.58,0.0,0.0,0.0,0.0,0.0,0.0,0.922,409.09,112.29
439,1936,8,Tropics,302.53,0.566,0.0,3.214,0.883,167.59,78.98,0.0,0.0,0.0,0.0,0.0,0.0,0.883,302.53,167.59
2750,2129,3,Coastal,344.23,-1.037,0.0,2.627,0.05,123.82,88.32,0.0,0.0,0.0,0.0,0.0,0.0,0.05,344.23,123.82
7487,2523,12,Tropics,429.89,-1.267,0.0,3.867,2.112,228.78,81.28,0.0,0.0,0.0,0.0,0.0,0.0,2.112,429.89,228.78
5272,2339,5,Temperate,391.55,-0.642,0.0,3.818,0.123,109.47,72.52,0.0,0.0,0.0,0.0,0.0,0.0,0.123,391.55,109.47
5653,2371,2,Temperate,396.97,1.091,0.0,4.966,-0.186,100.92,65.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.186,396.97,100.92
3999,2233,4,Temperate,367.42,-1.005,0.0,3.209,0.042,86.31,69.57,0.0,0.0,0.0,0.0,0.0,0.0,0.042,367.42,86.31
6033,2402,10,Inland,403.48,-0.816,0.0,3.393,3.375,110.69,58.14,0.0,0.0,0.0,0.0,0.0,0.0,3.375,403.48,110.69
582,1948,7,Tropics,303.61,-0.816,0.0,2.29,0.205,,83.95,0.0,0.0,0.0,0.0,0.0,0.0,0.205,303.61,
9930,2727,7,Coastal,474.63,0.004,0.0,4.753,1.986,132.12,81.66,0.0,0.0,0.0,0.0,0.0,0.0,1.986,474.63,132.12
7051,2487,8,Tropics,421.97,0.062,0.0,4.253,2.0,176.63,82.22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,421.97,176.63
8158,2579,11,Inland,443.29,-0.48,0.0,3.763,2.957,122.84,60.91,0.0,0.0,0.0,0.0,0.0,0.0,2.957,443.29,122.84
9896,2724,9,Tropics,472.01,-0.37,0.0,4.398,2.651,201.44,82.44,0.0,0.0,0.0,0.0,0.0,0.0,2.651,472.01,201.44
2249,2087,6,Tropics,333.08,0.364,0.0,3.607,1.303,123.21,78.81,0.0,0.0,0.0,0.0,0.0,0.0,1.303,333.08,123.21
4640,2286,9,Polar,378.57,1.167,0.0,4.615,0.668,55.58,59.51,0.0,0.0,0.0,0.0,0.0,0.0,0.668,378.57,55.58
9485,2690,6,Tropics,465.61,0.916,0.0,5.81,2.537,132.71,76.99,0.0,0.0,0.0,0.0,0.0,0.0,2.537,465.61,132.71
4947,2312,4,Coastal,384.32,0.576,0.0,4.188,0.202,96.7,82.57,0.0,0.0,0.0,0.0,0.0,0.0,0.202,384.32,96.7
9920,2726,9,Tropics,474.15,1.178,0.0,5.81,2.586,187.69,83.82,0.0,0.0,0.0,0.0,0.0,0.0,2.586,474.15,187.69
1963,2063,8,Inland,329.1,-1.094,0.0,2.161,0.234,105.36,58.77,0.0,0.0,0.0,0.0,0.0,0.0,0.234,329.1,105.36
8243,2586,12,Coastal,443.13,0.642,0.0,5.043,1.562,137.31,84.61,0.0,0.0,0.0,0.0,0.0,0.0,1.562,443.13,137.31
6590,2449,3,Temperate,414.8,-1.411,0.0,3.091,0.561,106.11,67.4,0.0,0.0,0.0,0.0,0.0,0.0,0.561,414.8,106.11
8847,2637,4,Polar,451.69,0.558,0.0,5.311,-0.573,33.13,68.31,0.0,0.0,0.0,0.0,0.0,0.0,-0.573,451.69,33.13
321,1926,10,Temperate,299.01,0.859,0.0,3.101,1.164,154.99,70.23,0.0,0.0,0.0,0.0,0.0,0.0,1.164,299.01,154.99
2678,2123,3,Inland,345.46,-0.694,0.0,2.7,-0.788,66.44,57.81,0.0,0.0,0.0,0.0,0.0,0.0,-0.788,345.46,66.44
4625,2285,6,Tropics,377.2,0.488,0.0,4.264,1.442,124.97,78.5,0.0,0.0,0.0,0.0,0.0,0.0,1.442,377.2,124.97
4949,2312,6,Temperate,382.45,0.362,0.0,4.251,0.643,96.93,70.86,0.0,0.0,0.0,0.0,0.0,0.0,0.643,382.45,96.93
