time_index,year,month,region,co2_ppm,enso_index,volcanic_activity,ocean_heat_index,temperature_anomaly,rainfall_mm,humidity_pct
6252,2421,1,Coastal,409.4,1.246,0.0,5.083,1.477,144.44,89.87
4684,2290,5,Temperate,378.73,-0.014,0.0,3.553,0.51,90.69,68.92
1731,2044,4,Temperate,326.43,-0.767,0.0,2.448,-0.457,80.59,67.85
4742,2295,3,Polar,,0.577,0.0,4.551,-0.858,56.85,65.78
4521,2276,10,Inland,376.91,0.696,0.0,4.503,3.13,114.28,57.24
6340,2428,5,Temperate,409.43,-1.199,0.0,3.066,0.916,101.02,69.46
576,1948,1,Temperate,306.37,-0.859,0.0,2.309,-0.557,116.26,70.74
5202,2333,7,Tropics,390.25,-0.751,0.0,3.169,1.646,169.32,82.33
6363,2430,4,Temperate,409.09,0.496,0.0,4.586,0.922,112.29,71.58
439,1936,8,Tropics,302.53,0.566,0.0,3.214,0.883,167.59,78.98
2750,2129,3,Coastal,344.23,-1.037,0.0,2.627,0.05,123.82,88.32
7487,2523,12,Tropics,429.89,-1.267,0.0,3.867,2.112,228.78,81.28
5272,2339,5,Temperate,391.55,-0.642,0.0,3.818,0.123,109.47,72.52
5653,2371,2,Temperate,396.97,1.091,0.0,4.966,-0.186,100.92,65.2
3999,2233,4,Temperate,367.42,-1.005,0.0,3.209,0.042,86.31,69.57
6033,2402,10,Inland,403.48,-0.816,0.0,3.393,3.375,110.69,58.14
582,1948,7,Tropics,303.61,-0.816,0.0,2.29,0.205,,83.95
9930,2727,7,Coastal,474.63,0.004,0.0,4.753,1.986,132.12,81.66
7051,2487,8,Tropics,421.97,0.062,0.0,4.253,2.0,176.63,82.22
8158,2579,11,Inland,443.29,-0.48,0.0,3.763,2.957,122.84,60.91
9896,2724,9,Tropics,472.01,-0.37,0.0,4.398,2.651,201.44,82.44
2249,2087,6,Tropics,333.08,0.364,0.0,3.607,1.303,123.21,78.81
4640,2286,9,Polar,378.57,1.167,0.0,4.615,0.668,55.58,59.51
9485,2690,6,Tropics,465.61,0.916,0.0,5.81,2.537,132.71,76.99
4947,2312,4,Coastal,384.32,0.576,0.0,4.188,0.202,96.7,82.57
9920,2726,9,Tropics,474.15,1.178,0.0,5.81,2.586,187.69,83.82
1963,2063,8,Inland,329.1,-1.094,0.0,2.161,0.234,105.36,58.77
8243,2586,12,Coastal,443.13,0.642,0.0,5.043,1.562,137.31,84.61
6590,2449,3,Temperate,414.8,-1.411,0.0,3.091,0.561,106.11,67.4
8847,2637,4,Polar,451.69,0.558,0.0,5.311,-0.573,33.13,68.31
321,1926,10,Temperate,299.01,0.859,0.0,3.101,1.164,154.99,70.23
2678,2123,3,Inland,345.46,-0.694,0.0,2.7,-0.788,66.44,57.81
4625,2285,6,Tropics,377.2,0.488,0.0,4.264,1.442,124.97,78.5
4949,2312,6,Temperate,382.45,0.362,0.0,4.251,0.643,96.93,70.86
8328,2594,1,Temperate,445.76,-0.639,0.0,3.709,0.695,108.08,73.43
3337,2178,2,Tropics,355.51,0.05,0.0,3.176,1.333,176.12,84.77
5589,2365,10,Inland,394.92,0.529,0.0,4.516,3.422,122.25,57.19
251,1920,12,Coastal,299.62,0.881,0.0,3.496,0.856,145.67,87.55
3973,2231,2,Tropics,367.36,0.88,0.0,4.785,1.3,174.92,79.62
6630,2452,7,Tropics,413.39,-0.297,0.0,4.113,1.872,157.46,78.79
5547,2362,4,Polar,394.54,0.401,0.0,3.973,-1.719,37.12,61.88
35,1902,12,Inland,295.67,-0.175,0.0,2.766,0.708,96.8,57.64
8362,2596,11,Coastal,446.19,1.255,0.0,5.562,2.483,140.81,86.36
1513,2026,2,Inland,321.13,0.922,0.0,4.219,-1.365,81.49,61.79
9317,2676,6,Inland,459.85,1.224,0.0,5.641,2.472,91.91,55.56
39,1903,4,Temperate,295.22,-1.066,0.0,1.959,-1.545,83.15,77.23
4819,2301,8,Temperate,383.0,1.198,0.0,4.626,1.516,127.08,69.45
3465,2188,10,Polar,356.87,-0.56,0.0,3.145,0.784,56.41,59.5
1760,2046,9,Coastal,326.65,1.062,0.0,4.0,0.99,138.65,85.94
2304,2092,1,Temperate,334.98,0.64,0.0,4.048,0.95,138.78,72.32
3723,2210,4,Polar,360.62,-0.003,0.0,3.682,-1.051,33.1,63.48
8284,2590,5,Temperate,445.95,0.286,0.0,5.174,1.556,93.3,70.13
4993,2316,2,Inland,384.35,0.867,0.0,4.339,1.29,96.07,55.47
8127,2577,4,Temperate,441.96,-0.401,0.0,4.301,0.032,94.75,66.86
3032,2152,9,Temperate,348.49,-0.217,0.0,3.199,1.389,125.28,71.29
7938,2561,7,Tropics,436.68,0.947,0.0,5.209,2.274,137.16,81.03
3039,2153,4,Tropics,350.66,-1.328,0.0,2.302,0.502,158.5,87.45
9655,2704,8,Inland,9999.0,-0.916,0.0,3.759,3.4,100.8,61.6
2545,2112,2,Temperate,340.78,0.788,0.0,3.933,0.513,124.83,76.77
2592,2116,1,Tropics,340.54,0.644,0.0,3.647,1.225,194.71,80.4
1188,1999,1,Temperate,319.45,-1.181,0.0,2.149,-0.937,114.23,75.13
7966,2563,11,Coastal,435.44,-1.098,0.0,3.773,2.25,160.66,84.47
6077,2406,6,Temperate,402.06,1.215,0.0,5.339,-0.819,82.64,64.61
107,1908,12,Coastal,297.54,-0.916,0.0,2.598,0.947,170.1,87.68
1315,2009,8,Temperate,317.25,-0.009,0.0,3.353,0.288,99.73,71.72
8187,2582,4,Temperate,443.58,-0.03,0.0,4.681,1.663,90.06,66.35
2753,2129,6,Inland,345.13,-0.255,0.0,3.479,-0.717,56.51,54.8
9753,2712,10,Temperate,9999.0,-0.16,0.0,4.593,2.72,125.25,69.4
6231,2419,4,Temperate,406.48,-0.452,0.0,3.894,-0.344,84.31,70.61
2876,2139,9,Inland,346.36,-0.691,0.0,2.577,4.481,109.91,53.8
5323,2343,8,Tropics,391.54,-1.593,0.0,2.465,0.683,185.94,85.81
799,1966,8,Polar,306.97,0.803,0.0,3.67,-1.337,44.39,64.13
3570,2197,7,Inland,358.47,-0.084,0.0,3.735,1.555,69.53,53.45
2894,2141,3,Inland,344.64,1.038,0.0,4.189,-1.406,87.9,59.65
2927,2143,12,Inland,345.29,-1.055,0.0,2.858,1.579,100.07,62.56
8178,2581,7,Coastal,441.49,0.854,0.0,5.001,1.513,112.73,85.14
971,1980,12,Inland,312.18,0.697,0.0,3.792,2.154,101.98,55.78
6687,2457,4,Tropics,413.44,0.546,0.0,4.352,1.832,131.06,80.49
8575,2614,8,Tropics,447.5,-0.278,0.0,4.204,2.631,193.54,82.17
2020,2068,5,Coastal,330.86,-1.319,0.0,2.132,-0.417,108.6,88.99
9054,2654,7,Polar,459.1,0.258,0.0,4.182,1.264,32.78,60.25
952,1979,5,Coastal,312.03,-0.413,0.0,3.059,-0.112,113.19,80.1
5359,2346,8,Temperate,391.83,1.389,0.0,5.083,,101.47,70.22
3857,2221,6,Tropics,364.77,1.132,0.0,4.727,1.377,117.59,80.64
5861,2388,6,Polar,402.78,-1.058,0.0,3.218,-2.255,36.41,65.52
3145,2162,2,Tropics,349.58,0.45,0.0,3.958,0.953,182.17,79.14
3305,2175,6,Polar,352.84,0.112,0.0,3.497,-1.923,25.13,62.33
3006,2150,7,Coastal,347.44,0.448,0.0,3.734,0.42,125.7,90.44
9001,2650,2,Temperate,455.03,-0.273,0.0,4.53,1.527,109.91,66.0
7770,2547,7,Temperate,435.23,0.351,0.0,4.456,2.15,108.41,73.41
7438,2519,11,Temperate,427.16,-0.312,0.0,4.124,1.676,131.58,69.16
7942,2561,11,Tropics,437.03,0.55,0.0,4.74,2.79,208.85,82.69
9238,2669,11,Coastal,458.85,-0.069,0.0,4.608,1.978,153.2,85.44
1056,1988,1,Temperate,312.74,-0.61,0.0,2.339,0.037,118.76,69.08
3154,2162,11,Coastal,351.03,-0.731,0.0,2.693,0.146,160.06,86.95
3787,2215,8,Tropics,363.98,0.741,0.0,4.176,1.678,170.06,79.67
9189,2665,10,Tropics,460.26,0.987,0.0,5.612,3.197,216.9,86.83
7825,2552,2,Coastal,435.83,0.461,0.0,4.782,1.667,133.46,88.62
7539,2528,4,Temperate,430.84,-1.024,0.0,3.372,0.697,93.82,65.8
7231,2502,8,Tropics,424.05,-0.873,0.0,3.836,2.171,176.13,84.05
