site_id,year,month,region,co2_ppm,enso,temp_c,rainfall_mm,human_disturbance,ndvi,landcover,species_presence
52,2521,1,Savanna,504.86,1.063,20.26,108.57,0.331,0.133,Forest,1
84,2390,5,Tropical,475.25,0.425,16.62,102.98,0.344,0.426,Forest,1
131,2144,4,Mediterranean,414.45,-0.68,14.21,114.83,0.257,0.431,Urban,1
142,2395,3,Savanna,475.71,-0.226,17.97,118.37,0.252,0.391,Grassland,0
121,2376,10,Savanna,470.25,0.522,17.53,74.41,0.276,-0.015,Grassland,0
140,2528,5,Tropical,506.3,-0.658,19.1,116.99,0.371,0.239,Urban,0
176,2048,1,Boreal,392.38,-0.684,13.33,89.64,0.162,0.347,Forest,1
2,2433,7,Boreal,483.39,-1.05,18.61,108.92,0.225,0.203,Forest,1
163,2530,4,Tropical,507.84,0.294,19.22,135.92,0.009,0.477,Forest,1
39,2036,8,Temperate,388.59,0.775,15.69,84.55,0.152,0.284,Forest,0
150,2229,3,Tropical,435.72,-0.521,15.63,132.56,0.312,0.497,Forest,1
87,2623,12,Tropical,530.62,-1.02,20.1,122.78,0.275,0.275,Forest,1
72,2439,5,Mediterranean,485.23,-0.603,18.11,85.91,0.216,0.343,Grassland,0
53,2471,2,Mediterranean,493.84,1.113,18.31,131.47,0.129,0.273,Grassland,0
199,2333,4,Savanna,459.01,-0.703,17.93,127.59,0.121,0.506,Grassland,1
33,2502,10,Tropical,500.79,-0.479,18.13,93.71,0.143,0.349,Forest,1
182,2048,7,Tropical,391.87,-0.541,16.02,76.18,0.276,0.528,Forest,0
130,2827,7,Boreal,578.38,-0.038,22.37,90.01,0.168,-0.033,Forest,0
51,2587,8,Savanna,518.33,0.167,20.5,69.62,0.19,0.045,Grassland,0
158,2679,11,Tropical,543.21,-0.396,19.03,84.33,0.289,0.201,Forest,0
96,2824,9,Mediterranean,576.83,-0.341,20.35,58.73,0.142,-0.095,Grassland,0
49,2187,6,Savanna,425.35,0.028,15.53,106.69,0.124,0.417,Forest,1
40,2386,9,Savanna,474.94,0.775,18.34,67.32,0.212,0.031,Grassland,0
85,2790,6,Tropical,569.79,0.37,22.17,102.29,0.281,0.222,Grassland,1
147,2412,4,Boreal,478.6,0.464,18.25,109.48,0.158,0.272,Forest,1
120,2826,9,Temperate,580.08,0.84,23.35,93.81,0.226,-0.035,Forest,0
163,2163,8,Tropical,419.36,-1.258,15.28,87.67,0.088,0.516,Forest,1
43,2686,12,Temperate,544.55,0.969,20.49,101.18,0.319,0.018,Forest,1
190,2549,3,Temperate,511.78,-0.716,19.25,126.53,0.569,0.197,Grassland,0
47,2737,4,Mediterranean,555.31,0.268,21.71,134.81,0.223,0.182,Forest,1
121,2026,10,Savanna,388.38,0.989,14.72,108.43,0.205,0.095,Grassland,0
78,2223,3,Savanna,435.4,-0.57,16.81,123.49,0.065,0.487,Grassland,0
25,2385,6,Boreal,470.72,0.589,18.31,103.07,0.385,0.179,Forest,1
149,2412,6,Savanna,478.42,-0.353,18.51,120.99,0.334,0.257,Grassland,0
128,2694,1,Mediterranean,547.54,-0.962,19.49,101.87,0.34,0.009,Forest,1
137,2278,2,Temperate,446.7,-0.791,16.01,105.13,0.149,0.328,Forest,1
189,2465,10,Boreal,493.02,0.585,18.76,103.27,0.235,0.017,Forest,0
51,2020,12,Savanna,384.46,0.967,14.7,96.96,0.136,0.291,Grassland,0
173,2331,2,Savanna,458.57,1.198,17.45,133.13,0.018,0.469,Forest,1
30,2552,7,Boreal,512.38,-0.174,21.09,109.12,0.087,0.174,Forest,1
147,2462,4,Boreal,492.29,0.378,18.63,136.72,0.216,0.3,Forest,1
35,2002,12,Mediterranean,382.49,-0.798,12.61,101.22,0.618,0.198,Urban,0
162,2696,11,Mediterranean,547.9,0.825,21.25,117.51,0.244,-0.077,Grassland,0
113,2126,2,Boreal,410.64,0.793,16.47,103.72,0.055,0.332,Forest,1
117,2776,6,Boreal,565.41,1.045,23.82,76.99,0.244,0.027,Forest,1
39,2003,4,Temperate,378.85,-0.695,13.38,96.04,0.091,0.575,Grassland,1
19,2401,8,Savanna,476.21,0.69,19.19,68.07,0.453,-0.031,Grassland,0
65,2288,10,Savanna,449.06,-0.99,16.92,58.48,0.435,-0.08,Urban,0
160,2146,9,Boreal,414.36,0.664,15.5,89.4,0.232,0.171,Forest,1
104,2192,1,Tropical,426.01,0.645,16.82,92.31,0.429,0.405,Forest,1
123,2310,4,Boreal,454.71,0.286,18.41,106.72,0.549,0.15,Urban,0
84,2690,5,Tropical,545.5,0.155,22.04,130.76,0.262,0.349,Forest,1
193,2416,2,Temperate,479.6,0.847,18.69,118.33,0.232,0.282,Grassland,0
127,2677,4,Savanna,543.16,0.526,21.29,128.32,0.206,0.398,Grassland,1
32,2252,9,Savanna,440.56,0.126,16.6,94.06,0.014,0.177,Grassland,0
138,2661,7,Temperate,539.48,0.831,21.12,90.62,0.209,0.119,Forest,1
39,2253,4,Temperate,439.55,-0.528,16.82,110.51,0.16,0.463,Forest,1
55,2804,8,Tropical,574.37,-0.33,21.87,104.12,0.382,0.075,Forest,0
145,2212,2,Savanna,429.72,0.303,16.25,118.76,0.21,0.432,Grassland,1
192,2216,1,Savanna,432.01,1.173,15.86,90.44,0.279,0.253,Grassland,1
188,2099,1,Tropical,403.79,-0.91,13.93,103.21,0.191,0.445,Urban,0
166,2663,11,Savanna,539.53,-1.174,20.8,101.09,0.197,-0.1,Forest,0
77,2506,6,Savanna,501.83,0.815,18.4,112.26,0.444,0.143,Forest,1
107,2008,12,Savanna,382.92,-1.024,14.11,91.31,0.525,0.167,Forest,0
115,2109,8,Mediterranean,406.25,-0.623,13.97,88.26,0.304,0.162,Grassland,0
187,2682,4,Tropical,544.9,0.389,22.36,132.54,0.205,0.392,Grassland,0
153,2229,6,Tropical,435.82,-0.603,16.25,71.87,0.117,0.467,Grassland,0
153,2812,10,Tropical,577.41,-0.522,21.33,84.1,0.084,0.198,Urban,0
31,2519,4,Savanna,503.67,-0.79,18.42,113.34,0.244,0.334,Grassland,0
76,2239,9,Tropical,437.27,-0.883,15.65,52.95,0.298,0.352,Forest,1
123,2443,8,Boreal,487.98,-0.923,17.47,86.82,0.647,-0.078,Forest,0
199,2066,8,Savanna,396.13,1.068,16.5,96.52,0.066,0.255,Forest,1
170,2297,7,Tropical,450.56,0.025,17.55,78.5,0.656,0.253,Urban,0
94,2241,3,Tropical,439.72,0.995,16.78,122.49,0.325,0.494,Urban,0
127,2243,12,Savanna,437.02,-1.06,16.62,83.72,0.179,0.166,Forest,1
178,2681,7,Mediterranean,543.3,1.071,21.52,81.42,0.56,-0.1,Urban,1
171,2080,12,Tropical,399.54,1.16,14.31,89.86,0.54,0.436,Urban,0
87,2557,4,Tropical,513.76,0.343,20.01,117.84,0.26,0.348,Forest,1
175,2714,8,Temperate,552.2,-0.343,22.63,72.75,0.219,0.078,Forest,0
20,2168,5,Temperate,420.42,-0.805,14.89,94.55,0.306,0.34,Forest,0
54,2754,7,Boreal,561.4,-0.873,20.46,85.34,0.207,0.001,Forest,1
152,2079,5,Tropical,400.85,-0.877,14.41,97.7,0.37,0.545,Urban,0
159,2446,8,Boreal,488.97,0.917,19.74,77.15,0.45,-0.039,Grassland,0
57,2321,6,Temperate,456.72,1.089,18.63,99.21,0.114,0.414,Urban,0
61,2488,6,Savanna,497.78,-0.818,18.6,102.59,0.36,0.211,Grassland,0
145,2262,2,Savanna,442.84,0.763,16.23,126.24,0.229,0.398,Grassland,0
105,2275,6,Mediterranean,447.52,0.588,17.82,106.49,0.44,0.203,Forest,1
6,2250,7,Boreal,438.96,0.773,16.61,93.34,0.173,0.266,Forest,0
1,2750,2,Mediterranean,560.19,-0.093,21.31,101.76,0.299,0.07,Forest,0
170,2647,7,Tropical,534.98,0.159,20.77,82.32,0.672,0.051,Forest,0
38,2619,11,Tropical,529.95,-0.139,21.73,81.58,0.261,0.251,Forest,0
142,2661,11,Savanna,538.27,0.545,21.44,110.08,0.236,-0.043,Forest,0
38,2769,11,Tropical,565.04,0.077,22.4,115.69,0.278,0.144,Grassland,1
56,2088,1,Savanna,402.74,-0.604,15.56,93.09,0.271,0.368,Grassland,0
154,2262,11,Boreal,443.35,-0.436,15.73,87.22,0.274,0.127,Forest,0
187,2315,8,Tropical,456.29,0.759,17.33,91.28,0.25,0.412,Forest,1
189,2765,10,Boreal,564.26,0.852,22.47,54.91,0.147,-0.1,Forest,1
25,2652,2,Boreal,536.69,0.269,20.55,96.62,0.384,0.049,Forest,0
139,2628,4,Mediterranean,532.05,-0.68,20.41,124.05,0.365,0.169,Grassland,0
31,2602,8,Savanna,525.15,-0.347,19.04,102.48,0.322,0.006,Grassland,0
164,2063,9,Boreal,394.37,-1.142,13.0,83.67,0.348,0.145,Forest,1
19,2418,4,Savanna,480.1,-0.94,17.55,118.05,0.581,0.358,Urban,0
103,2408,8,Temperate,477.95,-0.799,17.21,48.96,0.476,0.061,Grassland,0
93,2674,6,Boreal,542.71,-0.506,19.31,82.66,0.029,0.154,Forest,1
43,2570,4,Temperate,517.53,0.315,19.36,127.19,0.316,0.341,Forest,1
165,2180,6,Temperate,423.44,0.781,14.07,79.92,0.511,0.262,Grassland,0
62,2155,3,Mediterranean,416.52,-0.134,16.88,121.1,0.241,0.485,Grassland,0
50,2654,3,Savanna,538.05,-1.061,19.61,119.4,0.218,0.342,Grassland,0
123,2760,4,Boreal,562.21,0.508,24.02,132.71,0.629,-0.095,Grassland,0
140,2195,1,Tropical,427.2,-0.207,15.57,117.43,0.295,0.444,Forest,0
127,2460,8,Savanna,490.85,0.533,18.99,93.35,0.19,0.12,Urban,0
143,2561,12,Savanna,515.19,0.506,19.1,98.44,0.009,0.18,Grassland,0
3,2333,8,Mediterranean,461.12,-1.248,17.15,74.8,0.296,0.051,Grassland,0
123,2093,8,Boreal,401.77,-0.498,15.55,84.65,0.568,0.136,Forest,1
109,2725,10,Boreal,554.26,0.772,21.01,74.14,0.439,-0.1,Forest,0
49,2337,6,Savanna,460.02,-0.223,17.28,90.01,0.119,0.315,Forest,1
40,2636,9,Savanna,532.26,0.67,20.22,98.53,0.264,-0.097,Grassland,0
165,2063,10,Temperate,396.27,-1.294,13.33,58.96,0.398,0.187,Forest,0
144,2195,5,Savanna,427.86,0.375,15.58,145.72,0.116,0.517,Grassland,0
71,2339,4,Mediterranean,461.54,-0.871,17.46,118.95,0.205,0.354,Forest,1
16,2601,5,Savanna,525.66,0.733,20.71,106.63,0.225,0.276,Forest,0
16,2351,5,Savanna,462.52,1.208,17.6,143.42,0.185,0.454,Grassland,0
152,2662,9,Tropical,539.21,-0.458,18.48,105.91,0.243,0.286,Forest,0
170,2497,7,Tropical,499.88,0.164,19.37,79.54,0.638,0.185,Forest,1
150,2279,3,Tropical,447.11,-1.318,15.95,134.79,0.217,0.521,Urban,0
95,2391,4,Boreal,474.0,1.156,18.62,93.04,0.154,0.259,Forest,1
199,2283,4,Savanna,446.92,-1.01,15.66,105.84,0.077,0.5,Grassland,0
81,2340,2,Tropical,459.47,-0.203,17.7,102.33,0.167,0.481,Forest,1
149,2762,6,Savanna,563.15,0.08,20.85,87.63,0.309,0.098,Grassland,0
24,2102,1,Tropical,403.15,0.434,15.2,-106.24,0.406,0.501,Grassland,0
92,2524,5,Boreal,505.5,-0.772,17.07,113.48,0.064,0.249,Forest,1
122,2260,3,Mediterranean,442.22,0.155,15.86,127.97,0.106,0.43,Forest,1
110,2042,7,Tropical,390.74,0.155,13.89,67.34,0.416,0.489,Forest,1
194,2482,11,Savanna,496.2,-0.394,17.98,109.34,0.354,-0.074,Grassland,0
181,2681,10,Boreal,542.71,0.703,20.4,74.41,0.072,0.036,Forest,0
17,2784,10,Mediterranean,568.79,-0.516,21.97,84.55,0.293,-0.1,Forest,1
96,2008,1,Mediterranean,381.99,-0.324,13.57,89.78,0.087,0.346,Grassland,0
81,2556,10,Tropical,512.71,0.682,17.7,67.47,0.089,0.3,Forest,0
112,2126,1,Mediterranean,411.82,1.273,16.83,98.46,0.206,0.267,Forest,0
191,2732,8,Mediterranean,556.94,-0.257,21.01,82.44,0.027,0.0,Grassland,0
119,2009,12,Temperate,381.8,-0.178,13.66,116.86,0.119,0.369,Forest,1
191,2649,4,Mediterranean,533.65,-0.499,20.55,104.72,0.207,0.292,Forest,1
117,2543,2,Boreal,511.94,-0.446,20.26,121.17,0.131,0.165,Forest,1
33,2002,10,Tropical,381.73,-0.387,13.41,53.92,0.186,0.501,Urban,0
87,2657,4,Tropical,537.76,-0.158,20.45,106.59,0.172,0.353,Urban,0
30,2569,3,Boreal,516.15,-1.152,19.12,122.59,0.07,0.216,Forest,0
21,2451,10,Mediterranean,488.42,0.35,18.74,68.58,0.389,-0.088,Forest,1
68,2089,1,Savanna,401.75,-1.376,14.86,92.44,0.263,0.347,Grassland,0
147,2112,4,Boreal,407.85,0.027,14.83,150.84,0.228,0.404,Forest,1
