Country,Region,Year,Latitude,Longitude,Rainfall_mm,Temperature_C,Soil_Moisture,Humidity_%,Wind_Speed_mps,CO2_ppm,Evaporation_mm_day,Rainfall_Lag_mm,FloodRisk_Score,FloodRisk_Level,DroughtRisk_Score,DroughtRisk_Level,HeatwaveRisk_Score,HeatwaveRisk_Level
India,Maharashtra-Mumbai,1920,20.464540118847363,79.41071430640991,241.38,25.18,0.7,75.93,17.9,283.84,4.06,233.24,34.8,Low,0.0,Low,6.87,Low
India,Karnataka-Bangalore,1920,20.38122914019804,79.07185289472237,124.32,27.6,0.634,47.83,0.0,276.85,6.2,85.92,12.4,Low,0.0,Low,43.37,Medium
India,Delhi-Delhi,1920,20.15505159298528,79.40888553725333,132.5,15.19,0.682,75.02,9.93,274.71,6.65,150.81,27.54,Low,6.34,Low,14.36,Low
India,Tamil Nadu-Chennai,1920,21.011874235023118,78.54849250205191,89.45,27.05,0.418,55.63,7.31,273.27,3.24,106.41,15.92,Low,0.0,Low,58.89,Medium
India,West Bengal-Kolkata,1920,20.0955221171236,79.27546142845483,205.88,28.25,0.7,68.08,11.66,284.88,4.04,208.66,41.31,Medium,0.0,Low,36.85,Medium
India,Maharashtra-Mumbai,1921,20.56221492516195,78.5795942459383,208.38,22.4,0.7,86.63,11.69,297.36,3.16,214.36,38.88,Medium,0.72,Low,8.3,Low
India,Karnataka-Bangalore,1921,20.404355981076325,78.9685706911647,171.43,18.27,0.7,59.1,5.96,277.99,6.83,166.5,30.45,Low,1.31,Low,34.01,Low
India,Delhi-Delhi,1921,20.200051924527678,78.68793516254193,226.42,25.42,0.7,48.73,11.73,278.52,4.42,219.63,35.14,Medium,9.77,Low,47.66,Medium
India,Tamil Nadu-Chennai,1921,20.453629602379294,79.43178208272096,148.41,4.68,0.7,84.31,9.04,282.01,4.93,165.94,34.61,Low,0.0,Low,0.0,Low
India,West Bengal-Kolkata,1921,20.81821634861186,78.82778313271925,234.31,26.22,0.7,68.06,10.38,278.03,6.85,208.71,23.53,Low,0.0,Low,24.08,Low
India,Maharashtra-Mumbai,1922,20.73517279040945,78.63436642900498,243.0,12.7,0.7,75.38,14.07,274.85,5.45,223.39,34.23,Low,0.0,Low,5.51,Low
