time_index,year,month,region,co2_ppm,temperature_anomaly,rainfall_mm,humidity_pct,enso_index,volcanic_activity,ocean_heat_index,CO2_Reduction_Percent,Deforestation_Percent,Urban_Heat_Control_Percent,Irrigation_Efficiency_Percent,Water_Conservation_Percent,Renewable_Energy_Percent,Cloud_Seeding_Efficiency_Percent,Temperature_with_scenario,CO2_with_scenario,Rainfall_with_scenario,FloodRisk_Score,DroughtRisk_Score,HeatwaveRisk_Score,FloodRisk_Level,DroughtRisk_Level,HeatwaveRisk_Level,FloodRisk_Label,DroughtRisk_Label,HeatwaveRisk_Label
0,2045,7,India-Chennai,421.5511925073784,-0.7370298343968904,53.91862533367275,51.99742005742817,-0.4441551141881383,2.665478695758234,3.059197499365215,3.0903416384692517,66.36605896468677,40.238972729454034,3.728425341820807,44.951077548911634,98.8699922119034,2.5037584457145323,-0.39644693987173507,422.0603360151018,55.85953193369906,38.849368146473225,-17.66212342442257,-16.333457255704655,Low,High,Medium,0,2,1
1,2028,6,India-Mumbai,421.0458622805434,-1.8190168884834157,194.41213167642536,69.17961860098788,-1.9576284993741568,4.499616402574548,3.5728300933756274,71.15976559145264,40.600502028568016,51.8330848432937,65.01849426206775,73.14216923818225,51.82879718514376,22.1648942766408,-2.7238813518795313,417.8938790212565,195.18684885174957,95.14514118680873,-72.64930604869022,-22.3675627484452,Medium,Medium,Medium,1,1,1
2,2042,1,India-Kolkata,386.3843735185645,-0.9233473710922864,255.9129734184776,70.68127815645639,1.362285247947737,1.8625309059387465,1.7970437909368702,39.92828411873175,55.50256169649725,39.472478215545536,86.47714304537122,79.72178798725528,19.765233149486683,87.65225876817645,-1.327188271311466,384.9429849295929,255.825005094009,128.61891345850262,-94.57380544580153,-16.585304249005095,Medium,Medium,Medium,1,1,1
3,2040,11,India-Mumbai,400.8396641630125,4.997666761811332,208.15568169117236,34.91138263608996,0.7793187427413848,3.3770225380037084,4.793980173126161,0.7690447161045055,31.589479061953373,9.90494490713666,5.145078042484242,94.33478306302628,91.19311261254892,24.703853245356168,5.081335316560609,401.11710671782686,208.60928899812384,94.91453160504267,-61.57926818130976,-0.9131767729182987,Medium,High,High,1,2,2
4,2026,9,India-Gujrat,444.33837415761184,1.0406981677055054,113.9709711640361,43.96994171226703,-0.3607194764830352,0.7746365459833943,0.871948055147404,14.536340206285004,59.2233973551052,8.701636695493741,58.9852090422984,46.76852237014665,75.99821026312237,94.08920854036936,0.8369877305347427,444.2037911208486,113.86588891388186,65.34625918944316,-45.622013390410345,-2.9784620398766513,Low,High,High,0,2,2
5,2035,7,India-Delhi,415.3753312474255,2.6625519169294574,387.9853347223056,45.150852782079966,-1.5797164208881718,1.7524589737108442,4.227128825916121,58.809421677726924,65.8919277304713,88.07794627113792,27.047177929282253,54.24302602281116,44.82747132468494,14.600712821783201,2.367142946086298,413.0937794408439,389.6700782977841,203.7540122634712,-121.36360189675716,-33.81089274080339,High,Low,Low,2,0,0
6,2037,1,India-Chennai,402.2476310587041,-1.3902343920789706,385.832109222972,72.40216760248461,-0.8556669409586815,2.707799025152546,2.1813188058429267,91.74000572767618,92.57246322190231,19.954838959457778,4.595462181238874,51.54973741069247,70.98283741241417,72.0247180073948,-3.025486117037916,398.58635540453935,387.1687887594812,211.0461858641728,-118.2799235109073,-9.797227254005861,High,Low,High,2,0,2
7,2041,7,USA-Texas,407.1750585352482,4.558032021901054,477.138475464907,57.65590505145131,-1.8865329488406437,1.9035231022244403,1.168593996378685,13.254442328572335,71.5636560868736,14.434585771584596,88.01986982572572,45.742465594398595,89.15683199945613,82.62039569097311,4.437289033045454,407.22797297968833,477.6329772336938,251.13709232402928,-159.1189515220351,-3.111460888806566,High,Low,High,2,0,2
8,2034,10,USA-Texas,393.868743892545,0.2178824452244145,225.5918734679169,61.04369111048872,1.7236106987215938,2.689950236348699,0.587579756062509,96.41214764242318,75.4151795259989,71.45807919715557,48.175575856331754,39.262924412485276,65.47971298892519,64.39873027642751,-0.9957797156524935,389.8022883056838,226.56635424816832,128.05514609938677,-78.00333333197784,-29.180699508253728,Medium,Medium,Low,1,1,0
9,2032,1,UAE-Dubai,445.0392128493363,-1.3118521171932451,247.1182791129084,89.10048822888328,-0.5383271169623209,2.1633104789309456,2.0282767741218333,41.27970944876754,79.43739197592679,85.78271069645318,36.63525469180894,70.22658829095843,22.128385195937938,25.933026521863912,-1.2796191992040642,443.7696012966572,248.98274034174892,134.27727010546081,-82.53372072056808,-35.08085579810371,Medium,Medium,Low,1,1,0
